Date,Equipment,Handedness,"Swing Details","Plane Score","Connection Score","Rotation Score","Bat Speed (mph)","Rotational Acceleration (g)","On Plane Efficiency (%)","Attack Angle (deg)","Early Connection (deg)","Connection at Impact (deg)","Vertical Bat Angle (deg)","Power (kW)","Time to Contact (sec)","Peak Hand Speed (mph)","Exit Velocity (mph)","Launch Angle (deg)","Estimated Distance (feet)"
"Oct 04, 2023 09:38:37 am",Bat,Left,"Live Pitch",61,65,64,71.6,18.6,78,5,99,86,-47,4.67,0.14,21.5,,,
"Oct 04, 2023 09:38:30 am",Bat,Left,"Live Pitch",67,59,72,73.1,22.1,84,4,93,76,-37,5.41,0.13,22,,,
"Oct 04, 2023 09:38:23 am",Bat,Left,"Live Pitch",64,62,72,68.3,22.1,81,10,101,87,-36,4.5,0.13,22.3,,,
"Oct 04, 2023 09:38:17 am",Bat,Left,"Live Pitch",65,63,71,73.8,21.5,82,7,97,83,-35,5.6,0.12,22.8,,,
"Oct 04, 2023 09:38:06 am",Bat,Left,"Live Pitch",55,70,73,72.5,22.6,72,4,92,83,-45,5.16,0.13,21.7,,,
"Oct 04, 2023 09:37:51 am",Bat,Left,"Live Pitch",65,50,69,68.1,20.6,81,22,93,69,-23,4.17,0.14,21,,,
"Oct 04, 2023 09:37:44 am",Bat,Left,"Live Pitch",65,63,80,72.1,26.3,82,9,95,82,-37,5.1,0.13,21.8,,,
"Oct 04, 2023 09:37:36 am",Bat,Left,"Live Pitch",60,65,80,66.5,28.3,76,14,94,82,-38,4.14,0.14,22.2,,,
"Oct 04, 2023 09:37:28 am",Bat,Left,"Live Pitch",65,62,75,59,23,82,4,93,79,-39,3.31,0.13,21.3,,,
"Oct 04, 2023 09:37:21 am",Bat,Left,"Live Pitch",63,63,69,68.5,20.6,80,12,95,82,-40,4.33,0.14,22.2,,,
"Oct 04, 2023 09:37:13 am",Bat,Left,"Live Pitch",58,57,78,70.4,24.2,74,17,99,81,-28,4.79,0.13,22.4,,,
"Oct 04, 2023 09:37:04 am",Bat,Left,"Live Pitch",61,75,74,63.9,22.7,77,5,95,87,-44,4.07,0.13,22.9,,,
"Oct 04, 2023 09:36:56 am",Bat,Left,"Live Pitch",56,69,80,67,26,73,15,92,82,-39,4.09,0.14,21.2,,,
"Oct 04, 2023 09:36:49 am",Bat,Left,"Live Pitch",63,64,80,72.3,26,80,10,96,83,-37,5.21,0.13,22.3,,,
"Oct 04, 2023 09:36:43 am",Bat,Left,"Live Pitch",63,56,80,70,25.4,80,21,90,74,-26,4.73,0.13,22.2,,,
"Oct 04, 2023 09:36:31 am",Bat,Left,"Live Pitch",61,76,80,71.8,25.5,78,5,93,86,-41,5.21,0.13,23.1,,,
"Oct 04, 2023 09:36:24 am",Bat,Left,"Live Pitch",59,52,77,68.8,24.1,76,5,109,93,-36,4.79,0.13,22,,,
"Oct 04, 2023 09:36:18 am",Bat,Left,"Live Pitch",63,60,70,71.1,21,79,2,101,85,-39,4.96,0.13,22.1,,,
"Oct 04, 2023 09:36:12 am",Bat,Left,"Live Pitch",61,61,77,72,24,78,18,93,78,-30,4.86,0.14,22.6,,,
"Oct 04, 2023 09:34:00 am",Bat,Left,"Live Pitch",58,57,71,65.9,21.7,75,15,103,85,-32,4.07,0.14,22.2,,,
"Oct 04, 2023 09:33:48 am",Bat,Left,"Live Pitch",56,65,69,69.5,20.8,72,13,100,89,-42,4.33,0.14,21.9,,,
"Oct 04, 2023 09:33:41 am",Bat,Left,"Live Pitch",60,80,80,69.6,27.6,77,9,91,89,-37,4.82,0.13,23.2,,,
"Oct 04, 2023 09:33:31 am",Bat,Left,"Live Pitch",60,66,79,73.9,24.9,77,11,98,86,-39,5.27,0.13,22.7,,,
"Oct 04, 2023 09:33:24 am",Bat,Left,"Live Pitch",57,58,78,68.1,24.6,74,12,102,86,-37,4.42,0.13,22.1,,,
"Oct 04, 2023 09:33:17 am",Bat,Left,"Live Pitch",58,62,77,69.9,24,75,10,101,89,-41,4.72,0.13,22.4,,,
"Oct 04, 2023 09:33:09 am",Bat,Left,"Live Pitch",38,53,79,69.9,24.9,55,19,108,87,-24,4.45,0.14,21.8,,,
"Oct 04, 2023 09:33:00 am",Bat,Left,"Live Pitch",51,53,80,68.9,25.7,67,11,105,96,-38,4.65,0.13,22.7,,,
"Oct 04, 2023 09:32:52 am",Bat,Left,"Live Pitch",53,68,80,68,26.1,69,15,98,89,-38,4.27,0.14,22.5,,,
"Oct 04, 2023 09:32:45 am",Bat,Left,"Live Pitch",49,53,79,67.5,25,66,18,103,82,-29,4.09,0.14,22.2,,,
"Oct 04, 2023 09:32:38 am",Bat,Left,"Live Pitch",59,54,77,69.9,23.9,76,10,105,85,-33,4.86,0.13,22.5,,,
"Oct 04, 2023 09:32:30 am",Bat,Left,"Live Pitch",56,64,79,72.6,25,73,18,91,80,-29,4.87,0.14,22.4,,,
"Oct 04, 2023 09:32:23 am",Bat,Left,"Live Pitch",57,61,80,71.6,25.2,74,14,97,82,-36,4.88,0.13,22,,,
"Oct 04, 2023 09:32:15 am",Bat,Left,"Live Pitch",55,50,73,72.5,22.3,71,20,104,80,-26,4.92,0.14,21.6,,,
"Oct 04, 2023 09:32:09 am",Bat,Left,"Live Pitch",61,54,72,72,22,78,10,102,82,-35,5.16,0.13,22.4,,,
"Oct 04, 2023 09:30:31 am",Bat,Left,"Live Pitch",53,50,73,71.7,22.3,70,15,106,82,-30,4.75,0.14,22.1,,,
"Oct 04, 2023 09:30:21 am",Bat,Left,"Live Pitch",53,54,80,69.6,27.6,69,18,100,80,-29,4.34,0.14,21.4,,,
"Oct 04, 2023 09:29:54 am",Bat,Left,"Live Pitch",58,74,80,69.1,29,74,13,94,86,-35,4.41,0.14,22.8,,,
"Oct 04, 2023 09:29:46 am",Bat,Left,"Live Pitch",57,65,80,63.4,25.3,74,8,97,85,-38,3.82,0.13,21.8,,,
"Oct 04, 2023 09:29:39 am",Bat,Left,"Live Pitch",57,54,75,67.5,23.1,74,11,106,85,-32,4.27,0.14,21.8,,,
"Oct 04, 2023 09:29:33 am",Bat,Left,"Live Pitch",52,53,74,70.1,22.9,69,16,104,83,-34,4.34,0.14,22.1,,,
